"","Filename","Priority","Title","Author","Origin","Call Number","Page Number","Page Sort","Genre","Luna URL","Hamnet URL"
"5055","091448.jpg",11387,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3432","1r",11457,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195126~191341","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5056","091449.jpg",11388,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3432","1v",11458,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195127~191340","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5057","091450.jpg",11389,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3432","2r",11459,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195128~191339","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5058","091451.jpg",11390,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3432","2v",11460,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195129~191338","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5059","091452.jpg",11391,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3433","1r",11461,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195130~191337","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5060","091453.jpg",11392,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3433","1v",11462,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195131~191336","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5061","091454.jpg",11393,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3433","2r",11463,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195132~191335","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5062","091455.jpg",11394,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3433","2v",11464,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195133~191334","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5063","091456.jpg",11395,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3434","1r",11465,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195134~191333","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5064","091457.jpg",11396,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3434","1v",11466,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195135~191332","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
